ts,cash,inventory,mtm
1,-1020,10,-10
2,200,-2,-2
3,-10,0,-10
4,290,-3,-13
5,-20,0,-20
6,-338,3,-23
7,-544,5,-34
8,-352,3,-61
9,-166,1,-72
10,18,-1,-75
11,297,-4,-79
12,491,-6,-97
13,176,-3,-136
14,68,-2,-146
15,176,-3,-151
16,398,-5,-162
17,44,-2,-190
18,398,-5,-197
19,521,-6,-223
20,390,-5,-260
21,118,-3,-287
22,-21,-2,-297
23,118,-3,-302
24,402,-5,-313
25,-45,-2,-341
26,402,-5,-348
27,246,-4,-374
28,720,-7,-393
29,553,-6,-443
30,34,-3,-482
31,556,-6,-494
32,916,-8,-532
33,1104,-9,-597
34,706,-7,-680
35,1318,-10,-732
36,1960,-13,-835
37,1273,-10,-1007
38,1984,-13,-1110
39,2234,-14,-1280
40,1436,-11,-1479
41,882,-9,-1602
42,24,-6,-1686
43,-560,-4,-1724
44,-266,-5,-1741
45,332,-7,-1768
46,1250,-10,-1820
47,614,-8,-1922
48,288,-7,-1987
49,-378,-5,-2038
50,-42,-6,-2064
51,-730,-4,-2102
52,-38,-6,-2120
53,-746,-4,-2158
54,-390,-5,-2175
55,693,-8,-2203
56,-420,-5,-2270
57,328,-7,-2297
58,709,-8,-2347
59,1876,-11,-2414
60,1072,-9,-2537
61,2299,-12,-2621
62,1876,-11,-2766
63,1008,-9,-2889
64,122,-7,-2972
65,1018,-9,-3023
66,1932,-11,-3106
67,3336,-14,-3230
68,2852,-13,-3427
69,1858,-11,-3598
70,1350,-10,-3720
71,314,-8,-3822
72,-212,-7,-3887
73,850,-9,-3938
74,1390,-10,-4020
75,838,-9,-4121
76,1397,-10,-4203
77,826,-9,-4304
78,-914,-6,-4388
79,838,-9,-4427
80,243,-8,-4509
81,844,-9,-4574
82,1454,-10,-4656
83,2694,-12,-4758
84,3326,-13,-4903
85,5261,-16,-5075
86,3272,-13,-5334
87,1920,-11,-5505
88,3975,-14,-5629
89,5373,-16,-5827
90,7518,-19,-6086
91,9720,-22,-6450
92,10476,-23,-6935
93,8133,-20,-7467
94,6531,-18,-7869
95,4893,-16,-8195
96,6559,-18,-8453
97,4853,-16,-8779
98,5720,-17,-9036
99,3948,-15,-9327
100,2146,-13,-9554
101,4882,-16,-9726
2,200,-2,-2
3,-10,0,-10
4,290,-3,-13
5,-20,0,-20
6,-338,3,-23
7,-544,5,-34
8,-352,3,-61
9,-166,1,-72
10,18,-1,-75
11,297,-4,-79
12,491,-6,-97
13,176,-3,-136
14,68,-2,-146
15,176,-3,-151
16,398,-5,-162
17,44,-2,-190
18,398,-5,-197
19,521,-6,-223
20,390,-5,-260
21,118,-3,-287
22,-21,-2,-297
23,118,-3,-302
24,402,-5,-313
25,-45,-2,-341
26,402,-5,-348
27,246,-4,-374
28,720,-7,-393
29,553,-6,-443
30,34,-3,-482
31,556,-6,-494
32,916,-8,-532
33,1104,-9,-597
34,706,-7,-680
35,1318,-10,-732
36,1960,-13,-835
37,1273,-10,-1007
38,1984,-13,-1110
39,2234,-14,-1280
40,1436,-11,-1479
41,882,-9,-1602
42,24,-6,-1686
43,-560,-4,-1724
44,-266,-5,-1741
45,332,-7,-1768
46,1250,-10,-1820
47,614,-8,-1922
48,288,-7,-1987
49,-378,-5,-2038
50,-42,-6,-2064
51,-730,-4,-2102
52,-38,-6,-2120
53,-746,-4,-2158
54,-390,-5,-2175
55,693,-8,-2203
56,-420,-5,-2270
57,328,-7,-2297
58,709,-8,-2347
59,1876,-11,-2414
60,1072,-9,-2537
61,2299,-12,-2621
62,1876,-11,-2766
63,1008,-9,-2889
64,122,-7,-2972
65,1018,-9,-3023
66,1932,-11,-3106
67,3336,-14,-3230
68,2852,-13,-3427
69,1858,-11,-3598
70,1350,-10,-3720
71,314,-8,-3822
72,-212,-7,-3887
73,850,-9,-3938
74,1390,-10,-4020
75,838,-9,-4121
76,1397,-10,-4203
77,826,-9,-4304
78,-914,-6,-4388
79,838,-9,-4427
80,243,-8,-4509
81,844,-9,-4574
82,1454,-10,-4656
83,2694,-12,-4758
84,3326,-13,-4903
85,5261,-16,-5075
86,3272,-13,-5334
87,1920,-11,-5505
88,3975,-14,-5629
89,5373,-16,-5827
90,7518,-19,-6086
91,9720,-22,-6450
92,10476,-23,-6935
93,8133,-20,-7467
94,6531,-18,-7869
95,4893,-16,-8195
96,6559,-18,-8453
97,4853,-16,-8779
98,5720,-17,-9036
99,3948,-15,-9327
100,2146,-13,-9554
101,4882,-16,-9726
2,200,-2,-2
3,-10,0,-10
4,290,-3,-13
5,-20,0,-20
6,-338,3,-23
7,-544,5,-34
8,-352,3,-61
9,-166,1,-72
10,18,-1,-75
11,297,-4,-79
12,491,-6,-97
13,176,-3,-136
14,68,-2,-146
15,176,-3,-151
16,398,-5,-162
17,44,-2,-190
18,398,-5,-197
19,521,-6,-223
20,390,-5,-260
21,118,-3,-287
22,-21,-2,-297
23,118,-3,-302
24,402,-5,-313
25,-45,-2,-341
26,402,-5,-348
27,246,-4,-374
28,720,-7,-393
29,553,-6,-443
30,34,-3,-482
31,556,-6,-494
32,916,-8,-532
33,1104,-9,-597
34,706,-7,-680
35,1318,-10,-732
36,1960,-13,-835
37,1273,-10,-1007
38,1984,-13,-1110
39,2234,-14,-1280
40,1436,-11,-1479
41,882,-9,-1602
42,24,-6,-1686
43,-560,-4,-1724
44,-266,-5,-1741
45,332,-7,-1768
46,1250,-10,-1820
47,614,-8,-1922
48,288,-7,-1987
49,-378,-5,-2038
50,-42,-6,-2064
51,-730,-4,-2102
52,-38,-6,-2120
53,-746,-4,-2158
54,-390,-5,-2175
55,693,-8,-2203
56,-420,-5,-2270
57,328,-7,-2297
58,709,-8,-2347
59,1876,-11,-2414
60,1072,-9,-2537
61,2299,-12,-2621
62,1876,-11,-2766
63,1008,-9,-2889
64,122,-7,-2972
65,1018,-9,-3023
66,1932,-11,-3106
67,3336,-14,-3230
68,2852,-13,-3427
69,1858,-11,-3598
70,1350,-10,-3720
71,314,-8,-3822
72,-212,-7,-3887
73,850,-9,-3938
74,1390,-10,-4020
75,838,-9,-4121
76,1397,-10,-4203
77,826,-9,-4304
78,-914,-6,-4388
79,838,-9,-4427
80,243,-8,-4509
81,844,-9,-4574
82,1454,-10,-4656
83,2694,-12,-4758
84,3326,-13,-4903
85,5261,-16,-5075
86,3272,-13,-5334
87,1920,-11,-5505
88,3975,-14,-5629
89,5373,-16,-5827
90,7518,-19,-6086
91,9720,-22,-6450
92,10476,-23,-6935
93,8133,-20,-7467
94,6531,-18,-7869
95,4893,-16,-8195
96,6559,-18,-8453
97,4853,-16,-8779
98,5720,-17,-9036
99,3948,-15,-9327
100,2146,-13,-9554
101,4882,-16,-9726
2,200,-2,-2
3,-10,0,-10
4,290,-3,-13
5,-20,0,-20
6,-338,3,-23
7,-544,5,-34
8,-352,3,-61
9,-166,1,-72
10,18,-1,-75
11,297,-4,-79
12,491,-6,-97
13,176,-3,-136
14,68,-2,-146
15,176,-3,-151
16,398,-5,-162
17,44,-2,-190
18,398,-5,-197
19,521,-6,-223
20,390,-5,-260
21,118,-3,-287
22,-21,-2,-297
23,118,-3,-302
24,402,-5,-313
25,-45,-2,-341
26,402,-5,-348
27,246,-4,-374
28,720,-7,-393
29,553,-6,-443
30,34,-3,-482
31,556,-6,-494
32,916,-8,-532
33,1104,-9,-597
34,706,-7,-680
35,1318,-10,-732
36,1960,-13,-835
37,1273,-10,-1007
38,1984,-13,-1110
39,2234,-14,-1280
40,1436,-11,-1479
41,882,-9,-1602
42,24,-6,-1686
43,-560,-4,-1724
44,-266,-5,-1741
45,332,-7,-1768
46,1250,-10,-1820
47,614,-8,-1922
48,288,-7,-1987
49,-378,-5,-2038
50,-42,-6,-2064
51,-730,-4,-2102
52,-38,-6,-2120
53,-746,-4,-2158
54,-390,-5,-2175
55,693,-8,-2203
56,-420,-5,-2270
57,328,-7,-2297
58,709,-8,-2347
59,1876,-11,-2414
60,1072,-9,-2537
61,2299,-12,-2621
62,1876,-11,-2766
63,1008,-9,-2889
64,122,-7,-2972
65,1018,-9,-3023
66,1932,-11,-3106
67,3336,-14,-3230
68,2852,-13,-3427
69,1858,-11,-3598
70,1350,-10,-3720
71,314,-8,-3822
72,-212,-7,-3887
73,850,-9,-3938
74,1390,-10,-4020
75,838,-9,-4121
76,1397,-10,-4203
77,826,-9,-4304
78,-914,-6,-4388
79,838,-9,-4427
80,243,-8,-4509
81,844,-9,-4574
82,1454,-10,-4656
83,2694,-12,-4758
84,3326,-13,-4903
85,5261,-16,-5075
86,3272,-13,-5334
87,1920,-11,-5505
88,3975,-14,-5629
89,5373,-16,-5827
90,7518,-19,-6086
91,9720,-22,-6450
92,10476,-23,-6935
93,8133,-20,-7467
94,6531,-18,-7869
95,4893,-16,-8195
96,6559,-18,-8453
97,4853,-16,-8779
98,5720,-17,-9036
99,3948,-15,-9327
100,2146,-13,-9554
101,4882,-16,-9726
